planet_name,disposition,koi_id,kic_id,npl,kep_mag,rstar,rstar_err1,rstar_err2,mstar,mstar_err1,mstar_err2,epoch,epoch_err1,epoch_err2,period,period_err1,period_err2,depth,depth_err1,depth_err2,duration,duration_err1,duration_err2
K00752.01,CONFIRMED,K00752,10797460,2,15.347,0.944,0.035,-0.033,0.959,0.054,-0.059,2455003.5389999999,0.00216,-0.00216,9.4880355699999992,0.00002775,-0.00002775,615.79999999999995,19.5,-19.5,2.9575,8.1900000000000001E-2,-8.1900000000000001E-2
K00752.02,CONFIRMED,K00752,10797460,2,15.347,0.944,0.035,-0.033,0.959,0.054,-0.059,2454995.514,3.5200000000000001E-3,-3.5200000000000001E-3,54.418382700000002,2.4790000000000001E-4,-2.4790000000000001E-4,874.79999999999995,35.5,-35.5,4.5069999999999997,0.11600000000000001,-0.11600000000000001
K00755.01,CONFIRMED,K00755,10854555,1,15.509,0.912,0.036,-0.034,0.934,0.05,-0.061,2455004.5959999999,1.1299999999999999E-3,-1.1299999999999999E-3,2.5255917769999998,3.7610000000000001E-6,-3.7610000000000001E-6,603.29999999999995,16.899999999999999,-16.899999999999999,1.6545000000000001,4.2000000000000003E-2,-4.2000000000000003E-2
K00756.01,CONFIRMED,K00756,10872983,3,15.714,1.106,0.065,-0.059,1.017,0.074,-0.078,2455004.2009999999,0.00141,-0.00141,11.09432054,2.0360000000000002E-5,-2.0360000000000002E-5,1517.5,24.199999999999999,-24.199999999999999,4.5945,6.0999999999999999E-2,-6.0999999999999999E-2
K00756.02,CONFIRMED,K00756,10872983,3,15.714,1.106,0.065,-0.059,1.017,0.074,-0.078,2455005.9789999998,0.0019,-0.0019,4.13443512,0.00001046,-0.00001046,686,18.699999999999999,-18.699999999999999,3.1402000000000001,6.7299999999999999E-2,-6.7299999999999999E-2
K00756.03,CONFIRMED,K00756,10872983,3,15.714,1.106,0.065,-0.059,1.017,0.074,-0.078,2455012.554,4.6100000000000004E-3,-4.6100000000000004E-3,2.5665889700000002,1.7810000000000001E-5,-1.7810000000000001E-5,226.5,16.800000000000001,-16.800000000000001,2.4289999999999998,0.16500000000000001,-0.16500000000000001
K00757.01,CONFIRMED,K00757,10910878,3,15.841,0.736,0.023,-0.024,0.765,0.036,-0.039,2455006.622,5.1699999999999999E-4,-5.1699999999999999E-4,16.068646739999998,1.0879999999999999E-5,-1.0879999999999999E-5,4914.3000000000002,33.299999999999997,-33.299999999999997,3.5347,0.0241,-0.0241
K00001.01,CONFIRMED,K00001,11446443,1,11.338,1.051,0.022,-0.021,0.978,0.07,-0.068,2454955.7629999998,8.6999999999999997E-6,-8.6999999999999997E-6,2.4706133769999998,0.000000027,-0.000000027,14230.9,4.2000000000000002,-4.2000000000000002,1.74319,0.00107,-0.00107
K00002.01,CONFIRMED,K00002,10666592,1,10.463,1.995,0.042,-0.04,1.515,0.063,-0.071,2454954.3590000002,1.5999999999999999E-5,-1.5999999999999999E-5,2.2047354170000002,4.3000000000000001E-8,-4.3000000000000001E-8,6674.6999999999998,1.7,-1.7,3.8886400000000001,2.0300000000000001E-3,-2.0300000000000001E-3
K00010.01,CONFIRMED,K00010,6922244,1,13.563,1.545,0.036,-0.035,1.264,0.054,-0.062,2454954.1189999999,0.0000471,-0.0000471,3.5224984290000001,0.000000198,-0.000000198,9145.7000000000007,6.5999999999999996,-6.5999999999999996,3.1984300000000001,6.5300000000000002E-3,-6.5300000000000002E-3
K00112.02,CONFIRMED,K00112,10984090,2,12.772,0.951,0.065,-0.082,0.99,0.062,-0.065,2454966.983,1.4300000000000001E-3,-1.4300000000000001E-3,3.709214104,6.5359999999999998E-6,-6.5359999999999998E-6,131.09999999999999,3,-3,2.6301999999999999,4.2700000000000002E-2,-4.2700000000000002E-2
K00746.01,CONFIRMED,K00746,10526549,1,15.302,0.723,0.015,-0.016,0.738,0.034,-0.034,2455006.2579999999,8.7699999999999996E-4,-8.7699999999999996E-4,9.2735817300000001,1.0370000000000001E-5,-1.0370000000000001E-5,1288.3,16.800000000000001,-16.800000000000001,3.2875000000000001,0.0309,-0.0309
K00747.01,CONFIRMED,K00747,10583066,1,15.784,0.655,0.017,-0.017,0.671,0.026,-0.025,2455004.6030000001,7.1299999999999998E-4,-7.1299999999999998E-4,6.0293032899999996,5.5090000000000001E-6,-5.5090000000000001E-6,1912.7,34.399999999999999,-34.399999999999999,1.5821000000000001,3.1099999999999999E-2,-3.1099999999999999E-2
K00749.01,CONFIRMED,K00749,10601284,3,15.416,0.878,0.031,-0.029,0.903,0.047,-0.054,2455004.807,1.2700000000000001E-3,-1.2700000000000001E-3,5.3495538189999996,8.8340000000000005E-6,-8.8340000000000005E-6,831,14.800000000000001,-14.800000000000001,3.0278,4.7100000000000003E-2,-4.7100000000000003E-2
K00749.02,CONFIRMED,K00749,10601284,3,15.416,0.878,0.031,-0.029,0.903,0.047,-0.054,2454969.0869999998,0.00233,-0.00233,3.9410522100000001,0.00001094,-0.00001094,363.30000000000001,13.9,-13.9,2.5983999999999998,7.3700000000000002E-2,-7.3700000000000002E-2
K00749.03,CONFIRMED,K00749,10601284,3,15.416,0.878,0.031,-0.029,0.903,0.047,-0.054,2454965.8029999998,7.1599999999999997E-3,-7.1599999999999997E-3,8.1090480700000001,6.7869999999999999E-5,-6.7869999999999999E-5,217.40000000000001,16.800000000000001,-16.800000000000001,3.5960000000000001,0.19800000000000001,-0.19800000000000001
K00750.01,CONFIRMED,K00750,10662202,3,15.377,0.897,0.028,-0.026,0.819,0.03,-0.023,2455004.5359999998,2.5799999999999998E-3,-2.5799999999999998E-3,21.67699193,7.0099999999999996E-5,-7.0099999999999996E-5,857.20000000000005,27.100000000000001,-27.100000000000001,3.4554999999999998,6.5600000000000006E-2,-6.5600000000000006E-2
K00751.01,CONFIRMED,K00751,10682541,1,15.861,0.853,0.033,-0.031,0.839,0.053,-0.05,2455004.7420000001,2.1900000000000001E-3,-2.1900000000000001E-3,4.9967796800000004,1.3890000000000001E-5,-1.3890000000000001E-5,934.70000000000005,39.700000000000003,-39.700000000000003,2.1717,7.6200000000000004E-2,-7.6200000000000004E-2
K00769.01,CONFIRMED,K00769,11460018,1,15.356,0.955,0.044,-0.041,0.908,0.065,-0.066,2455004.8969999999,0.00115,-0.00115,4.2809636040000001,6.1410000000000002E-6,-6.1410000000000002E-6,750.79999999999995,14.1,-14.1,2.875,4.2000000000000003E-2,-4.2000000000000003E-2
K00773.01,CONFIRMED,K00773,11507101,1,15.172,0.959,0.032,-0.03,0.961,0.056,-0.062,2455005.8199999998,3.3800000000000002E-3,-3.3800000000000002E-3,38.377548599999997,1.6019999999999999E-4,-1.6019999999999999E-4,724.20000000000005,23.399999999999999,-23.399999999999999,5.5880000000000001,0.113,-0.113
K00757.02,CONFIRMED,K00757,10910878,3,15.841,0.736,0.023,-0.024,0.765,0.036,-0.039,2454998.0040000002,1.7099999999999999E-3,-1.7099999999999999E-3,41.19725502,9.3449999999999995E-5,-9.3449999999999995E-5,2213.9000000000001,45.5,-45.5,4.6296999999999997,6.3299999999999995E-2,-6.3299999999999995E-2
K00757.03,CONFIRMED,K00757,10910878,3,15.841,0.736,0.023,-0.024,0.765,0.036,-0.039,2455004.301,0.00117,-0.00117,6.2529622490000003,0.000009577,-0.000009577,1036.9000000000001,24.5,-24.5,2.5819000000000001,4.2599999999999999E-2,-4.2599999999999999E-2
K00758.01,CONFIRMED,K00758,10987985,1,15.39,0.717,0.019,-0.02,0.742,0.034,-0.039,2455009.361,2.4299999999999999E-3,-2.4299999999999999E-3,16.013084190000001,4.8539999999999999E-5,-4.8539999999999999E-5,1121.9000000000001,39.399999999999999,-39.399999999999999,3.2553999999999998,7.9100000000000004E-2,-7.9100000000000004E-2
K00759.01,CONFIRMED,K00759,11018648,2,15.082,0.787,0.022,-0.02,0.826,0.038,-0.053,2455027.102,1.3799999999999999E-3,-1.3799999999999999E-3,32.628766720000002,5.8010000000000002E-5,-5.8010000000000002E-5,1804.8,25.399999999999999,-25.399999999999999,4.7971000000000004,5.8000000000000003E-2,-5.8000000000000003E-2
K00759.02,CONFIRMED,K00759,11018648,2,15.082,0.787,0.022,-0.02,0.826,0.038,-0.053,2455026.838,0.00643,-0.00643,91.773286200000001,7.5179999999999995E-4,-7.5179999999999995E-4,652,36.200000000000003,-36.200000000000003,6.4729999999999999,0.20399999999999999,-0.20399999999999999
